Town, Total , Total Males ,Total Females , Total Chinese,Chinese Males ,Chinese Females ,Total Malays,Malay Males ,Malay Females ,Total Indians,Indian Males ,Indian Females ,Total Others ,Other Males ,Other Females 
         Bayfront Subzone , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Bugis ,"2,330","1,110","1,220","2,100","1,000","1,100",20,10,10,160,80,90,40,30,20
         Cecil ,160,90,70,90,50,40,10, - ,10,20,10,10,40,30,10
         Central Subzone ,480,230,250,300,140,160,10,10, - ,40,20,20,120,60,60
         City Hall ,60, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Clifford Pier , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Marina Centre ,20, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Maxwell , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Phillip , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Raffles Place ,60, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Tanjong Pagar ,520,290,240,320,160,170, - , - , - ,70,50,20,130,80,50
     Geylang- Total ,"116,960","58,090","58,870","88,060","43,550","44,510","15,280","7,550","7,730","9,900","5,220","4,690","3,730","1,780","1,950"
         Aljunied ,"41,710","20,780","20,930","34,510","17,130","17,380","3,030","1,510","1,510","2,680","1,410","1,270","1,490",720,770
         Geylang East ,"33,380","16,310","17,070","23,950","11,690","12,260","5,140","2,460","2,680","3,070","1,570","1,500","1,220",590,630
         Kallang Way ,40, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Kampong Ubi ,"13,210","6,660","6,550","8,800","4,400","4,400","2,860","1,450","1,410","1,180",640,550,370,180,190
         Macpherson ,"28,630","14,320","14,320","20,770","10,310","10,460","4,250","2,120","2,130","2,960","1,580","1,380",650,300,350
     Hougang- Total ,"222,310","109,560","112,750","181,700","89,240","92,460","17,650","8,810","8,840","18,040","9,310","8,720","4,930","2,200","2,720"
         Defu Industrial Park ,20, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Hougang Central ,"4,830","2,430","2,400","4,180","2,110","2,060",250,130,120,330,160,180,70,40,40
         Hougang East ,"21,940","10,770","11,170","17,910","8,840","9,080","1,850",900,950,"1,780",880,900,390,150,240
         Hougang West ,"50,120","24,780","25,340","40,270","19,880","20,390","4,790","2,380","2,410","4,120","2,120","2,000",940,400,540
         Kangkar ,"26,080","12,890","13,200","21,600","10,670","10,930","1,830",900,930,"2,100","1,080","1,020",570,240,320
         Kovan ,"25,640","12,470","13,170","22,950","11,130","11,820",590,280,310,"1,490",760,740,610,300,300
         Lorong Ah Soo ,"34,180","16,320","17,870","28,370","13,450","14,930","2,600","1,300","1,300","2,590","1,280","1,300",630,280,340
         Lorong Halus , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Tai Seng ,"14,700","7,130","7,580","11,980","5,770","6,210","1,260",610,650,"1,190",630,560,280,120,160
         Trafalgar ,"44,800","22,770","22,030","34,420","17,380","17,040","4,480","2,300","2,180","4,450","2,410","2,030","1,450",670,780
     Jurong East- Total ,"84,980","42,270","42,710","60,130","29,770","30,360","13,740","6,800","6,940","9,150","4,800","4,350","1,970",910,"1,060"
         International Business Park ,10, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Jurong Gateway ,20, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Jurong Port ,10, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Jurong River ,10, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Lakeside ,"1,010",500,500,860,430,440,20,10,10,80,40,40,40,20,20
         Penjuru Crescent ,10, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Teban Gardens ,"19,080","9,570","9,510","11,810","5,920","5,900","4,800","2,360","2,440","2,130","1,150",970,350,150,200
         Toh Guan ,"16,510","8,240","8,270","12,480","6,210","6,270","1,930",950,980,"1,640",860,780,460,220,240
         Yuhua East ,"27,460","13,510","13,960","20,160","9,830","10,330","3,740","1,870","1,860","3,000","1,550","1,450",570,260,310
         Yuhua West ,"20,870","10,420","10,450","14,770","7,360","7,410","3,260","1,610","1,650","2,300","1,200","1,100",540,250,290
     Jurong West- Total ,"272,660","137,560","135,110","190,240","95,510","94,740","48,630","24,480","24,150","27,090","14,420","12,670","6,710","3,160","3,550"
         Boon Lay Place ,"31,100","15,950","15,160","19,900","10,230","9,670","7,420","3,770","3,640","2,990","1,590","1,400",800,360,440
         Chin Bee , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Hong Kah ,"56,870","28,380","28,490","38,920","19,240","19,680","10,610","5,330","5,290","6,000","3,190","2,810","1,330",620,700
         Jurong West Central ,"68,200","34,280","33,920","51,820","25,940","25,880","8,530","4,280","4,260","5,590","2,960","2,630","2,260","1,100","1,160"
         Kian Teck ,50, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Safti , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Taman Jurong ,"36,940","18,510","18,430","25,860","12,910","12,950","6,320","3,150","3,160","3,860","2,020","1,840",900,420,480
         Wenya ,"8,610","4,400","4,210","5,820","2,930","2,890","1,440",750,690,"1,100",590,510,260,130,130
         Yunnan ,"70,890","36,010","34,880","47,880","24,210","23,660","14,310","7,200","7,110","7,540","4,070","3,470","1,160",520,640
     Kallang- Total ,"101,210","50,410","50,800","75,800","37,400","38,390","7,980","4,040","3,940","14,460","7,570","6,890","2,970","1,390","1,580"
         Bendemeer ,"33,830","16,550","17,280","27,280","13,190","14,090","1,560",800,760,"4,390","2,300","2,090",600,270,330
         Boon Keng ,"10,970","5,340","5,630","8,680","4,220","4,460","1,250",620,630,810,400,410,240,100,130
         Crawford ,"9,740","5,380","4,360","6,590","3,630","2,960","1,720",900,820,"1,140",720,420,290,130,160
         Geylang Bahru ,"12,870","6,440","6,430","9,560","4,770","4,800","1,590",790,800,"1,500",810,690,210,80,140
         Kallang Bahru ,30, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Kampong Bugis ,890,450,440,730,370,360,40,10,20,90,50,40,40,20,20
         Kampong Java ,"11,260","5,540","5,720","8,770","4,290","4,480",380,180,200,"1,680",890,800,430,190,240
         Lavender ,"10,320","5,400","4,920","7,240","3,740","3,500",960,500,450,"1,780",990,790,350,180,170
         Tanjong Rhu ,"11,310","5,290","6,020","6,930","3,190","3,740",490,250,240,"3,080","1,430","1,660",810,420,380
     Lim Chu Kang- Total ,90, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Lim Chu Kang ,90, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
     Mandai- Total ,"2,120","1,000","1,120","1,710",810,900,110,40,60,240,120,120,70,30,40
         Mandai East , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Mandai Estate ,"2,120","1,000","1,120","1,710",810,900,110,40,60,240,120,120,70,30,40
         Mandai West , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
     Marina East- Total , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Marina East , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
     Marina South- Total , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Marina South , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
     Marine Parade- Total ,"48,730","22,970","25,770","36,620","17,070","19,550","3,510","1,690","1,820","6,010","2,930","3,080","2,590","1,280","1,310"
         East Coast , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Katong ,"9,620","4,630","4,990","8,270","3,910","4,360",100,50,50,720,370,350,530,300,230
         Marina East (Mp) , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Marine Parade ,"28,910","13,510","15,400","21,270","9,820","11,450","3,320","1,610","1,720","2,880","1,400","1,480","1,450",680,770
         Mountbatten ,"10,210","4,830","5,380","7,090","3,340","3,750",80,30,50,"2,420","1,160","1,260",620,300,310
     Museum- Total ,380,190,190,220,100,120, - , - , - ,40,30,20,110,60,50
         Bras Basah ,10, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Dhoby Ghaut ,210,100,110,150,70,80, - , - , - ,10,10, - ,50,30,20
         Fort Canning ,160,80,80,70,30,40, - , - , - ,30,20,10,60,40,30
     Newton- Total ,"6,920","3,240","3,680","4,870","2,200","2,670",60,20,40,780,390,390,"1,210",630,580
         Cairnhill ,"3,330","1,560","1,770","2,390","1,080","1,310",20,10,20,390,190,210,530,280,250
         Goodwood Park ,910,420,490,680,300,380,10, - , - ,90,50,40,130,70,60
         Istana Negara ,40, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Monk's Hill ,980,480,510,710,330,380,10, - ,10,120,70,50,150,80,70
         Newton Circus ,230,110,110,130,60,60, - , - , - ,30,10,10,70,40,30
         Orange Grove ,"1,440",650,780,950,420,530,20, - ,10,130,60,70,340,170,170
     North-Eastern Islands- Total ,60, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         North-Eastern Islands ,60, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
     Novena- Total ,"47,990","23,160","24,830","38,840","18,640","20,200","2,110","1,030","1,080","4,210","2,150","2,060","2,830","1,340","1,480"
         Balestier ,"32,340","15,700","16,640","25,930","12,520","13,410","1,990",980,"1,020","3,130","1,600","1,530","1,290",600,690
         Dunearn ,"3,900","1,790","2,110","3,250","1,480","1,770",20,10,10,300,150,150,340,160,180
         Malcolm ,"2,630","1,190","1,440","2,130",960,"1,180",20,10,10,140,70,70,340,160,180
         Moulmein ,"8,470","4,160","4,310","7,040","3,440","3,600",80,40,40,590,310,280,770,380,390
         Mount Pleasant ,650,320,330,500,250,250,10, - , - ,50,20,30,90,40,50
     Orchard- Total ,920,430,500,620,270,350,10,10,10,70,30,40,220,120,100
         Boulevard ,400,200,210,290,130,160,10, - , - ,20,10,10,90,60,30
         Somerset ,130,60,70,90,30,50, - , - , - ,10,10,10,30,20,10
         Tanglin ,390,170,220,240,100,140, - , - , - ,40,20,20,110,50,60
     Outram- Total ,"22,080","11,100","10,980","18,020","8,960","9,060","1,930",990,950,"1,590",880,710,540,270,270
         China Square ,"1,590",760,830,"1,540",740,800,10, - , - ,20,10,10,30,10,10
         Chinatown ,"11,880","5,720","6,150","10,060","4,790","5,270",620,310,310,870,440,430,330,180,160
         Pearl's Hill ,"8,230","4,430","3,800","6,060","3,260","2,800","1,310",670,640,680,420,260,180,80,100
         People's Park ,390,190,200,360,180,190, - , - , - ,10,10, - ,10, - ,10
     Pasir Ris- Total ,"139,890","69,150","70,740","93,910","46,160","47,750","28,420","14,120","14,310","11,920","6,160","5,760","5,640","2,720","2,920"
         Flora Drive ,"12,950","6,350","6,610","10,160","4,930","5,230","1,070",510,560,"1,160",610,550,560,290,280
         Loyang East ,"2,190","1,070","1,120","1,640",820,820,90,40,50,260,120,140,200,90,110
         Loyang West ,200,100,110,150,70,80,30,10,10,10,10, - ,10,10, - 
         Pasir Ris Central ,"25,730","12,700","13,030","18,900","9,300","9,600","3,790","1,870","1,930","2,080","1,070","1,010",960,460,500
         Pasir Ris Drive ,"59,480","29,520","29,970","36,120","17,800","18,320","16,020","8,010","8,020","5,000","2,600","2,400","2,340","1,110","1,230"
         Pasir Ris Park ,"2,980","1,460","1,520","2,240","1,080","1,160",330,160,180,220,120,100,190,110,80
         Pasir Ris Wafer Fab Park ,20, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Pasir Ris West ,"36,330","17,950","18,390","24,690","12,150","12,540","7,090","3,520","3,570","3,180","1,620","1,560","1,370",660,720
     Paya Lebar- Total ,40, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Airport Road , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Paya Lebar East ,10, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Paya Lebar North ,20, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Paya Lebar West , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Plab , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
     Pioneer- Total ,100, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Benoi Sector , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Gul Basin ,20, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Gul Circle ,30, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Joo Koon ,40, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Pioneer Sector , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
     Punggol- Total ,"109,750","54,100","55,650","84,890","41,890","43,010","14,480","7,090","7,390","7,720","3,960","3,760","2,670","1,170","1,500"
         Coney Island , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Matilda ,"30,440","14,960","15,480","23,290","11,510","11,780","4,450","2,150","2,310","1,990","1,000",990,700,300,410
         Northshore ,280,150,140,240,120,120, - , - , - ,30,20,10,20,10,10
         Punggol Canal , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Punggol Field ,"43,300","21,310","21,990","33,980","16,690","17,280","4,670","2,280","2,400","3,400","1,760","1,640","1,250",580,670
         Punggol Town Centre ,"7,390","3,600","3,790","6,030","2,920","3,110",860,440,420,350,170,180,160,70,90
         Waterway East ,"28,340","14,090","14,260","21,360","10,650","10,720","4,490","2,230","2,260","1,950","1,000",950,540,220,330
     Queenstown- Total ,"98,050","46,230","51,820","77,390","36,100","41,290","8,720","4,230","4,490","8,000","4,040","3,950","3,950","1,850","2,100"
         Commonwealth ,"8,130","3,830","4,300","6,030","2,810","3,220","1,170",560,610,590,310,280,350,150,200
         Dover ,"13,200","6,350","6,850","10,460","5,000","5,470","1,050",520,530,"1,220",620,590,470,220,250
         Ghim Moh ,"11,900","5,590","6,320","9,240","4,310","4,930","1,530",730,800,820,420,410,310,130,180
         Holland Drive ,"14,230","6,510","7,710","11,790","5,350","6,440","1,190",550,640,760,390,370,480,230,260
         Kent Ridge ,"1,080",520,560,670,310,370,20,10,10,200,110,90,190,90,100
         Margaret Drive ,"10,520","4,980","5,540","9,010","4,240","4,770",330,160,170,850,410,430,330,160,170
         Mei Chin ,"16,750","7,930","8,820","13,050","6,150","6,900","1,520",740,780,"1,740",850,890,450,200,250
         National University of S'pore ,360,100,260,320,80,240,10, - , - ,10,10,10,20,10,20
         One North ,620,300,320,410,180,220, - , - , - ,40,30,20,170,90,80
         Pasir Panjang 1 ,"4,010","1,920","2,090","3,410","1,620","1,800",40,20,20,240,110,120,320,170,140
         Pasir Panjang 2 ,"3,520","1,710","1,810","2,820","1,350","1,470",80,40,40,240,130,120,370,190,190
         Port ,140,70,70,120,60,60, - , - , - ,10,10,10,10, - , - 
         Queensway ,280,140,140,200,100,110,10, - ,10,30,20,10,40,20,10
         Singapore Polytechnic ,160,80,80,120,60,60, - , - , - ,30,10,10,10,10,10
         Tanglin Halt ,"13,160","6,200","6,960","9,750","4,510","5,240","1,770",880,880,"1,220",620,600,440,200,240
     River Valley- Total ,"9,190","4,260","4,930","6,440","2,940","3,510",90,30,60,"1,270",590,680,"1,400",710,690
         Institution Hill ,"3,380","1,600","1,780","2,440","1,140","1,300",30,10,20,480,230,260,430,220,210
         Leonie Hill ,"2,450","1,120","1,320","1,510",700,820,30,10,20,500,220,280,410,200,210
         One Tree Hill ,"1,840",840,"1,010","1,280",570,710,20,10,10,210,90,120,340,170,170
         Oxley ,"1,380",640,740,"1,100",480,620,20,10,10,70,40,30,190,110,90
         Paterson ,150,70,80,120,50,70, - , - , - ,10,10, - ,30,20,10
     Rochor- Total ,"14,590","7,410","7,180","10,470","5,100","5,370",640,300,330,"2,960","1,720","1,240",530,290,240
         Bencoolen ,"1,460",700,760,"1,040",480,560,40,20,20,300,150,150,80,40,40
         Farrer Park ,"3,130","1,630","1,500","2,090","1,040","1,050",70,30,40,910,530,380,60,20,40
         Kampong Glam ,170,120,60,60,30,20,30,20,10,70,50,20,20,20, - 
         Little India ,"3,850","2,030","1,820","2,810","1,390","1,420",30,20,20,970,600,370,40,20,20
         Mackenzie ,110,60,50,80,40,40, - , - , - ,20,10,10,10,10,10
         Mount Emily ,"1,110",530,580,830,370,460,20,10,10,70,40,30,190,110,80
         Rochor Canal ,10, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Selegie ,270,150,130,180,90,90, - , - , - ,70,40,30,30,10,10
         Sungei Road ,"2,420","1,230","1,190","1,610",830,780,420,210,210,350,180,180,40,20,20
         Victoria ,"2,060",980,"1,090","1,780",830,950,20,10,20,200,110,90,60,30,30
     Seletar- Total ,270,140,140,170,80,90, - , - , - ,40,20,20,60,30,30
         Pulau Punggol Barat , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Pulau Punggol Timor , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Seletar ,260,130,130,160,80,90, - , - , - ,30,20,10,60,30,30
         Seletar Aerospace Park ,20, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
     Sembawang- Total ,"76,530","37,910","38,620","55,690","27,450","28,240","10,320","5,060","5,260","7,190","3,750","3,430","3,330","1,640","1,690"
         Admiralty ,"14,410","7,120","7,280","10,240","5,060","5,180","2,290","1,120","1,170","1,330",670,660,540,270,270
         Sembawang Central ,"29,140","14,340","14,800","21,390","10,460","10,930","3,720","1,830","1,890","2,690","1,380","1,310","1,350",660,680
         Sembawang East ,90, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Sembawang North ,"26,860","13,390","13,470","19,130","9,500","9,640","4,040","1,980","2,060","2,450","1,310","1,140","1,230",600,630
         Sembawang Springs ,"4,290","2,090","2,200","3,550","1,730","1,830",150,70,90,460,250,220,120,60,70
         Sembawang Straits ,"1,700",890,820,"1,270",650,620,100,50,50,240,130,110,90,50,30
         Senoko North ,20, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Senoko South ,20, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         The Wharves , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
     Sengkang- Total ,"206,680","101,790","104,890","160,590","79,070","81,520","22,580","11,120","11,460","18,200","9,230","8,970","5,310","2,380","2,930"
         Anchorvale ,"38,040","18,680","19,360","29,590","14,500","15,090","3,960","1,970","1,990","3,440","1,740","1,700","1,050",470,580
         Compassvale ,"18,510","9,040","9,470","15,750","7,680","8,070","1,430",700,730,"1,030",520,500,310,140,170
         Fernvale ,"35,590","17,560","18,030","27,000","13,330","13,670","5,170","2,570","2,600","2,490","1,290","1,200",940,380,560
         Lorong Halus North , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Rivervale ,"59,860","29,590","30,270","45,460","22,530","22,930","6,820","3,330","3,490","6,060","3,020","3,040","1,510",710,800
         Sengkang Town Centre ,"54,680","26,920","27,750","42,780","21,020","21,760","5,210","2,560","2,650","5,190","2,660","2,530","1,510",680,830
         Sengkang West ,10, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
     Serangoon- Total ,"120,670","58,380","62,290","101,460","48,880","52,580","5,170","2,580","2,590","10,740","5,370","5,370","3,310","1,560","1,750"
         Lorong Chuan ,"8,390","4,010","4,380","7,570","3,610","3,960",50,20,20,420,210,220,350,170,180
         Seletar Hills ,"13,580","6,710","6,870","12,040","5,910","6,130",150,60,80,930,490,440,460,250,210
         Serangoon Central ,"26,480","12,660","13,820","22,110","10,510","11,610","1,180",600,590,"2,600","1,290","1,300",590,270,320
         Serangoon Garden ,"39,180","18,750","20,420","32,530","15,490","17,030","1,980","1,010",980,"3,480","1,710","1,770","1,190",540,650
         Serangoon North ,"17,490","8,660","8,830","13,810","6,830","6,980","1,310",650,660,"1,980","1,010",970,380,170,210
         Serangoon North Ind Estate ,20, - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Upper Paya Lebar ,"15,540","7,580","7,960","13,380","6,520","6,860",500,240,260,"1,330",670,670,330,160,170
     Simpang- Total , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Pulau Seletar , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Simpang North , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Simpang South , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
         Tanjong Irau , - , - , - , - , - , - , - , - , - , - , - , - , - , - , - 
